2023-05-19 12:16:47,275 INFO    MainThread:132916 [wandb_setup.py:_flush():76] Current SDK version is 0.15.3
2023-05-19 12:16:47,276 INFO    MainThread:132916 [wandb_setup.py:_flush():76] Configure stats pid to 132916
2023-05-19 12:16:47,277 INFO    MainThread:132916 [wandb_setup.py:_flush():76] Loading settings from /home/edo/.config/wandb/settings
2023-05-19 12:16:47,277 INFO    MainThread:132916 [wandb_setup.py:_flush():76] Loading settings from /home/edo/Desktop/orc/03_assignment/wandb/settings
2023-05-19 12:16:47,277 INFO    MainThread:132916 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_executable': '/usr/bin/python3'}
2023-05-19 12:16:47,277 INFO    MainThread:132916 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'DQN template.py', 'program': 'DQN template.py'}
2023-05-19 12:16:47,277 INFO    MainThread:132916 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-05-19 12:16:47,277 INFO    MainThread:132916 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-05-19 12:16:47,277 INFO    MainThread:132916 [wandb_init.py:_log_setup():507] Logging user logs to /home/edo/Desktop/orc/03_assignment/wandb/run-20230519_121647-ndsooydm/logs/debug.log
2023-05-19 12:16:47,277 INFO    MainThread:132916 [wandb_init.py:_log_setup():508] Logging internal logs to /home/edo/Desktop/orc/03_assignment/wandb/run-20230519_121647-ndsooydm/logs/debug-internal.log
2023-05-19 12:16:47,278 INFO    MainThread:132916 [wandb_init.py:init():547] calling init triggers
2023-05-19 12:16:47,278 INFO    MainThread:132916 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-05-19 12:16:47,278 INFO    MainThread:132916 [wandb_init.py:init():596] starting backend
2023-05-19 12:16:47,278 INFO    MainThread:132916 [wandb_init.py:init():600] setting up manager
2023-05-19 12:16:47,286 INFO    MainThread:132916 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-05-19 12:16:47,432 INFO    MainThread:132916 [wandb_init.py:init():606] backend started and connected
2023-05-19 12:16:47,438 INFO    MainThread:132916 [wandb_init.py:init():700] updated telemetry
2023-05-19 12:16:47,460 INFO    MainThread:132916 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-05-19 12:16:48,050 INFO    MainThread:132916 [wandb_run.py:_on_init():2177] communicating current version
2023-05-19 12:16:48,330 INFO    MainThread:132916 [wandb_run.py:_on_init():2186] got version response 
2023-05-19 12:16:48,330 INFO    MainThread:132916 [wandb_init.py:init():787] starting run threads in backend
2023-05-19 12:16:48,546 INFO    MainThread:132916 [wandb_run.py:_console_start():2158] atexit reg
2023-05-19 12:16:48,546 INFO    MainThread:132916 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-05-19 12:16:48,547 INFO    MainThread:132916 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-05-19 12:16:48,547 INFO    MainThread:132916 [wandb_run.py:_redirect():2103] Redirects installed.
2023-05-19 12:16:48,548 INFO    MainThread:132916 [wandb_init.py:init():829] run started, returning control to user process
2023-05-19 12:23:15,213 INFO    MainThread:132916 [wandb_run.py:_finish():1893] finishing run bru0x11/DQN_pendulum/ndsooydm
2023-05-19 12:23:15,214 INFO    MainThread:132916 [wandb_run.py:_atexit_cleanup():2127] got exitcode: 0
2023-05-19 12:23:15,214 INFO    MainThread:132916 [wandb_run.py:_restore():2110] restore
2023-05-19 12:23:15,214 INFO    MainThread:132916 [wandb_run.py:_restore():2116] restore done
