Episode:  1
[-1.6268081895080528, 0.971372233910943]
[-1.5965574804125455, 0.23865612990935348]
[-1.603867002064768, -0.5310369959982572]
[-1.6494444471986922, -1.2920608093587127]
[-1.732827020256652, -2.0432421129596765]
[-1.8534236501638783, -2.780623083329376]
[-2.0103224069684607, -3.495327188853917]
[-2.2020033881327747, -4.171912057718649]
[-2.42599535969774, -4.787766804879964]
[-2.6785482510288334, -5.314348848363775]
[-2.954430974101939, -5.720960074560455]
[3.0362047134228787, -5.981024711630296]
[2.735803683292054, -6.035016493602705]
[2.4355520805586597, -5.9750476157330485]
[2.141744133792513, -5.777270254912814]
[1.8659493452368494, -5.25452128731372]
[1.6177186929975296, -4.674704802259088]
[1.4033364300537183, -3.9005857154933805]
[1.2183806002042488, -3.4976474784854084]
[1.0539240913358983, -3.0806128762486127]
[0.9092609933815137, -2.705911041926775]
[0.7821345556398303, -2.379146467740562]
[0.6767742755724235, -1.8352647349556972]
[0.5996094758726391, -1.2513272530356856]
[0.5406351212724654, -1.1076469309712678]
[0.4881285336609458, -0.9926165734895197]
[0.440718755511992, -0.903774552468639]
[0.39714891591533386, -0.8390190313976931]
[0.35625660458642905, -0.7966734217584945]
[0.3169517558779624, -0.7755205265801779]
[0.288193233055309, -0.37482038632595094]
[0.2689843895084403, -0.39353335554880525]
[0.24859346969470142, -0.42210343700075637]
[0.2265134117577321, -0.4610988804780092]
[0.20997980526842142, -0.2002453790944197]
[0.19841871261214195, -0.2621983271567647]
[0.1836229353609058, -0.3296327628926897]
[0.16527624422999176, -0.40423488234387195]
[0.15075177154642194, -0.17674402499891845]
[0.13956544326390663, -0.2707091063016945]
[0.1235561523299924, -0.3696625310548741]
[0.10241043791403337, -0.47616604558349374]
[0.07568286399726043, -0.5929369110874246]
[0.05278647358547506, -0.3229187053839826]
[0.033004675256162574, -0.4683532277885095]
[0.01350005238208496, -0.3118316871745912]
[-0.006265423881394838, -0.478787363364598]
[-0.024601605846113372, -0.25465991522414755]
[-0.04204347025473032, -0.44301466112053295]
[-0.059088261659814734, -0.2387769950828348]
[-0.07620983808453685, -0.44608606190604616]
[-0.09387202704398456, -0.2604014964718633]
[-0.10254134133398107, -0.08637107512799225]
[-0.1126750262327989, -0.3189763208247173]
[-0.12451163308799629, -0.1544879533831867]
[-0.13388520839437623, -0.22045505887201278]
[-0.14110990928155598, -0.06853297661517507]
[-0.1464337694924578, -0.1444214318208955]
[-0.15226942811648359, -0.08900491314013875]
[-0.1587616132210239, -0.17068249104147087]
